case_id,image_filename,asset_url,source_page_url,notes
web-parle-gold,web-parle-gold.png,https://www.parleproducts.com/Uploads/prdsmallimage/99prodsmall_parle-gold.png,https://www.parleproducts.com/brands/parle-g,Official Parle-G Gold package asset
web-parle-g,web-parle-g.png,https://www.parleproducts.com/Uploads/prdsmallimage/100prodsmall_parle-g.png,https://www.parleproducts.com/brands/parle-g,Official Parle-G package asset
web-parle-royale,web-parle-royale.png,https://www.parleproducts.com/Uploads/prdsmallimage/196prodsmall_parle-royal.png,https://www.parleproducts.com/brands/parle-g,Official Parle-G Royale package asset
web-parle-cookies,web-parle-cookies.webp,https://www.parleproducts.com/Uploads/prdsmallimage/197prodsmall_Parle-G-cookies-75g.webp,https://www.parleproducts.com/brands/parle-g,Official Parle-G Cookies package asset
web-parle-oats,web-parle-oats.png,https://www.parleproducts.com/Uploads/prdsmallimage/199prodsmall_parle-oats.png,https://www.parleproducts.com/brands/parle-g,Official Parle-G Oats and Berries package asset
web-parle-dark,web-parle-dark.png,https://www.parleproducts.com/Uploads/prdsmallimage/204prodsmall_parle-dark.png,https://www.parleproducts.com/brands/parle-g,Official Dark Parle-G package asset
web-good-day-cashew,web-good-day-cashew.png,https://media.britannia.co.in/Good_Day_Cashew_180a081781.png,https://www.britannia.co.in/product/good-day,Official Britannia Good Day Cashew package asset
web-good-day-butter,web-good-day-butter.png,https://media.britannia.co.in/Good_Day_Butter_Pack_306616402a.png,https://www.britannia.co.in/product/good-day,Official Britannia Good Day Butter package asset
web-good-day-chocochip,web-good-day-chocochip.png,https://media.britannia.co.in/Good_Day_Chocochip_Pack_b3ab25e340.png,https://www.britannia.co.in/product/good-day,Official Britannia Good Day Chocochip package asset
web-good-day-pista-badam,web-good-day-pista-badam.png,https://media.britannia.co.in/Good_Day_Pista_Badam_Pack_84942117cb.png,https://www.britannia.co.in/product/good-day,Official Britannia Good Day Pista Badam package asset
web-haldiram-aloo,web-haldiram-aloo.webp,https://cdn.shopify.com/s/files/1/0691/0948/1549/files/1_b5586779-8200-46cc-811d-faef8e78ae07.avif?v=1782794349&width=800&format=webp,https://haldirams.com/products/aloo-bhujia,Official Haldiram's Aloo Bhujia package asset
web-tata-simply-better,web-tata-simply-better.png,https://www.tataconsumer.com/sites/g/files/gfwrlq316/files/Product%20Packshot-Mobile-min.png,https://www.tataconsumer.com/news/tata-consumer-products-enters-alternate-meat-segment-launch-tata-simply-better-plant-based,Official Tata Consumer Products package packshot
